&oelig;uvre-	ph:õvr	ph:oeuvre
&oelig;uvre-rel	ph:õvrrel	ph:oeuvrerel
&oelig;uvre-ré	ph:õvrré	ph:oeuvreré
&oelig;uvre	ph:õvr	ph:oeuvre
-házhozszállítás	hy:|ház-hoz|szál-lí-tás
felülvizsgálat	hy:5
fengsuj	ph:fengshui
fenilcsoport	hy:5
fennhatóság	hy:4
fennsík	hy:4
fenyérfû	hy:6
fenyérfüvek	hy:6
fenyõerdõ	hy:5
fenyõfa	hy:5
fenyõgyanta	hy:5
fenyõpálinka	hy:5
fenyõtoboz	hy:5
fenyõtû	hy:5
fenékmoréna	hy:5
fenéksúly	hy:5
fenõacél	hy:4
fenõkõ	hy:4
fenõkövek	hy:4
fenõszíj	hy:4
fenõszíjak	hy:4
ferblijátszma	hy:6
ferritantenna	hy:6
ferritmemória	hy:6
fertõtlenítõszer	hy:12
fertõzõosztály	hy:7
festékanyag	hy:6
festékesbögre	hy:8
festékesdoboz	hy:8
festékfecskendõ	hy:6
festéklap	hy:6
festékpárna	hy:6
festékréteg	hy:6
festõecset	hy:5
festõfû	hy:5
festõfüvek	hy:5
festõnõ	hy:5
festõsablon	hy:5
festõállvány	hy:5
fesztivál	ph:festival
feszítõizmok	hy:7
feszítõizom	hy:7
feszítõkeret	hy:7
feszítõvas	hy:7
feszítõvasak	hy:7
feszítõzabla	hy:7
feszültségkiegyenlítõ	hy:10
feszültségmérõ	hy:10
fiahordó	hy:3
fiatalurak	hy:6
fiatalúr	hy:6
fiatornyok	hy:3
fiatorony	hy:3
figyelembevétel	hy:10
filmakadémia	hy:4
filmdarab	hy:4
filmfelvevõ	hy:4
filmfelvétel	hy:4
filmfelvételezés	hy:4
filmipar	hy:4
filmjelenet	hy:4
filmkocka	hy:4
filmkölcsönzõ	hy:4
filmstatiszta	hy:4
filmszcenárium	hy:4
filmtekercs	hy:4
filmvetítõ	hy:4
filmvágó	hy:4
filmábrázolás	hy:4
finomacél	hy:5
finomfõzelék	hy:5
finomkerámia	hy:5
finomlemez	hy:5
finomliszt	hy:5
finommechanika	hy:5
finommegmunkálás	hy:5
finommunka	hy:5
finomolaj	hy:5
finomolajak	hy:5
finomszesz	hy:5
finomszûrõ	hy:5
firmware-	ph:fõmver
firmware-es	ph:fõmveres
firmware-rel	ph:fõmverrel
firmware-ré	ph:fõmverré
firmware-t	ph:fõmvert
firmware	ph:fõmver
firngyûjtõ	hy:4
fivér	hy:2
fizetéscsökkentés	hy:7
fizetésemelés	hy:7
fiág	hy:2
fiágak	hy:2
fiókgerenda	hy:4
flaubert-es	ph:floberes
flaubert-i	ph:floberi
flokonruha	hy:6
flopi	ph:floppy
flow-	ph:fló
flow-val	ph:flóval
flow-vá	ph:flóvá
flow	ph:fló
flóbertpuska	hy:7
flórfonal	hy:4
flórharisnya	hy:4
fodorkel	hy:5
fodormenta	hy:5
fogadóhelyiség	hy:6
fogadónap	hy:6
fogadószoba	hy:6
fogadóterem	hy:6
fogadótermek	hy:6
fogalomcsere	hy:7
fogalomkör	hy:7
fogalomírás	hy:7
fogamzásgátlás	hy:8
fogamzásgátló	hy:8
fogaskerekek	hy:5
fogaskerekû	hy:5
fogaskerék	hy:5
fogathajtó	hy:5
fogcsikorgatás	hy:3
fogfájás	hy:3
fogfû	hy:3
fogfüvek	hy:3
fogház	hy:3
fogházak	hy:3
foghézag	hy:3
foghíj	hy:3
foghíjak	hy:3
foghús	hy:3
fogkefe	hy:3
fogkorona	hy:3
fogkõ	hy:3
fogkövek	hy:3
fogmû	hy:3
fogmûvek	hy:3
fogpiszkáló	hy:3
fogpor	hy:3
fogsor	hy:3
fogtömés	hy:3
fogvicsorgató	hy:3
fogvicsorítás	hy:3
fogvájó	hy:3
fogyatékosügy	hy:10
fogíny	hy:3
fogív	hy:3
fogólap	hy:4
fojtószelep	hy:5
fokhagyma	hy:3
fokél	hy:3
fokív	hy:3
foltkiemelés	hy:4
foltmarás	hy:4
folyadékcsepp	hy:8
folyadékmennyiség	hy:8
folyadékmozgás	hy:8
folyadéktartály	hy:8
folyamterület	hy:6
folytacél	hy:5
folytvas	hy:5
folytvasak	hy:5
folyóirat	hy:5
folyókanyar	hy:5
folyómeder	hy:5
folyómedrek	hy:5
folyópart	hy:5
folyószakasz	hy:5
folyószámla	hy:5
folyótorkolat	hy:5
folyóvizek	hy:5
folyóvíz	hy:5
folyóág	hy:5
folyóágak	hy:5
fonalcsomó	hy:5
fonalköteg	hy:5
fondant-	ph:fondan
fondant-nal	ph:fondannal
fondant-ná	ph:fondanná
fondant	ph:fondan
fonométer	hy:5
fonógép	hy:4
fordulatszám	hy:8
fordulópont	hy:7
forgattyúcsap	hy:9
forgattyúház	hy:9
forgattyúházak	hy:9
forgattyúsház	hy:10
forgattyúsházak	hy:10
forgatókönyv	hy:7
forgatónyomaték	hy:7
forgáscsap	hy:6
forgásszimmetrikus	hy:for-gás|szim-met-ri-kus
forgóajtó	hy:5
forgóhidak	hy:5
forgóhíd	hy:5
forgókereszt	hy:5
forgókorlát	hy:5
forgópisztoly	hy:5
forgópánt	hy:5
forgórész	hy:5
forgósorompó	hy:5
forgószelek	hy:5
forgószél	hy:5
forgózsámoly	hy:5
formaruha	hy:5
forrasztócsõ	hy:9
forrasztócsövek	hy:9
forrasztóeszköz	hy:9
forrasztólámpa	hy:9
forráskutató	hy:6
forrásmû	hy:6
forrásmûvek	hy:6
forráspont	hy:6
forrásvizek	hy:6
forrásvíz	hy:6
forródrót	hy:5
forróláz	hy:5
forrólázak	hy:5
forrónadrág	hy:5
fortepiano	hy:5
foszforossav	hy:9
foszforossavak	hy:9
fotócikk	hy:4
fotómontázs	hy:4
foucault-i	ph:fukói
foucault-s	ph:fukós
franchise-	ph:frencsájz
franchise-os	ph:frencsájzos
franchise-zal	ph:frencsájzzal
franchise-zá	ph:frencsájzzá
franchise	ph:frencsájz
franciaablak	hy:7
franciadrazsé	hy:7
franciaerkély	hy:7
franciakert	hy:7
franciakrémes	hy:7
franciakulcs	hy:7
franciakönyv	hy:7
franciaperje	hy:7
franciasaláta	hy:7
franciatanár	hy:7
franciaágy	hy:7
franciaágyak	hy:7
franciaóra	hy:7
freeware-	ph:fríver
freeware-es	ph:fríveres
freeware-rel	ph:fríverrel
freeware-ré	ph:fríverré
freeware-t	ph:frívert
freeware	ph:fríver
frekvenciasáv	hy:10
frissdiplomás	hy:5
frissensült	hy:7
frontszakasz	hy:5
frontváltozás	hy:5
frottírkefe	hy:7
frottírpelenka	hy:7
frottírtörölközõ	hy:7
frottírtörülközõ	hy:7
funkcionálanalízis	hy:10
funky	ph:fánki
futball	ph:football
futballbelsõ	hy:7
futballkupa	hy:7
futballpálya	hy:7
futóhomok	hy:4
futóléc	hy:4
futólépés	hy:4
futómû	hy:4
futómûvek	hy:4
futónövény	hy:4
futópálya	hy:4
futórózsa	hy:4
futószerkezet	hy:4
futószõnyeg	hy:4
futótûz	hy:4
futótüzek	hy:4
futóverseny	hy:4
futóárkok	hy:4
futóárok	hy:4
fuvardíj	hy:5
fuvardíjak	hy:5
fuvarlevelek	hy:5
fuvarlevél	hy:5
fácánsült	hy:5
fáklyatartó	hy:6
fáklyásmenet	hy:7
fáklyászene	hy:fák-lyás|zene
fáskamra	hy:3
fáskosarak	hy:3
fáskosár	hy:3
fásláda	hy:3
fáspince	hy:3
fásszárú	hy:fás|szá-rú
fásszín	hy:fás|szín
fátyolfelhõ	hy:6
fátyolszövet	hy:6
fáziskülönbség	hy:5
fékezõrakéta	hy:6
féksaru	hy:3
féktáv	hy:3
fékutak	hy:3
fékút	hy:3
félbeszakítás	hy:5
félcipõ	hy:3
félemelet	hy:3
félfa	hy:3
félfülke	hy:3
félgömb	hy:3
félhalott	hy:3
félhang	hy:3
félhangzó	hy:3
félhold	hy:3
félholdak	hy:3
félhomály	hy:3
félidõ	hy:3
féligazság	hy:fél|i=gaz-ság
félisten	hy:3
félkészexport	hy:7
félkör	hy:3
félmúlt	hy:3
félmúltak	hy:3
félnivaló	hy:5
félpennys	hy:fél|pen-nys
félprofil	hy:3
félproletár	hy:3
félrebeszélés	hy:5
félreesõ	hy:5
félremagyarázás	hy:5
félreszólás	hy:5
félretevés	hy:5
félretétel	hy:5
félreugrás	hy:5
félrevezetés	hy:5
félrevezetõ	hy:5
félreértés	hy:5
félselyem	hy:3
félselymek	hy:3
félsivatag	hy:3
félszegúszó	hy:7
félsziget	hy:3
félteke	hy:3
féltenivaló	hy:7
félutak	hy:3
félvariogram	hy:3
félvezetõ	hy:3
félár	hy:3
félárak	hy:3
félárbóc	hy:3
félév	hy:3
félút	hy:3
fémbélés	hy:3
fémcsésze	hy:3
fémdarab	hy:3
fémedény	hy:3
fémfinomító	hy:3
fémforgács	hy:3
fémfûrész	hy:3
fémfüst	hy:3
fémgyártás	hy:3
fémgömb	hy:3
fémhab	hy:3
fémhulladék	hy:3
fémhártya	hy:3
fémjelzés	hy:3
fémkupa	hy:3
fémmunka	hy:3
fémmû	hy:3
fémmûvek	hy:3
fémpoharak	hy:3
fémpohár	hy:3
fémrudak	hy:3
fémrúd	hy:3
fémsó	hy:3
fémtisztító	hy:3
fémtábla	hy:3
fémtömb	hy:3
fémvizsgálás	hy:3
fémöntés	hy:3
fémüst	hy:3
fényforrás	hy:4
fényjelzés	hy:4
fénykerülés	hy:4
fénykisugárzás	hy:4
fénykoszorú	hy:4
fénykép	hy:4
fényképezõgép	hy:10
fényképezõlemez	hy:10
fénykéve	hy:4
fénymásolat	hy:4
fénymásoló	hy:4
fénymáz	hy:4
fénymázak	hy:4
fénymérés	hy:4
fénymérõ	hy:4
fénnyomás	hy:4
fényrekesz	hy:4
fényreklám	hy:4
fénysugarak	hy:4
fénysugár	hy:4
fényszóró	hy:4
fénytan	hy:4
fénytompító	hy:4
fényudvar	hy:4
fényvetõ	hy:4
fényár	hy:4
fényárak	hy:4
fényáram	hy:4
fényév	hy:4
fényûzés	hy:4
férccérna	hy:4
fércmû	hy:4
fércmûvek	hy:4
féregirtó	hy:5
féregnyúlvány	hy:5
féregûzõ	hy:5
férfialak	hy:5
férfidivat	hy:5
férfifodrászat	hy:5
férfiválogatott	hy:5
férõhely	hy:4
fésûcsiga	hy:4
fésûsfonal	hy:5
fésûsfonó	hy:5
fésûsgyapjú	hy:5
fésûsmerinó	hy:5
fétis	ph:fetish
fókabõr	hy:4
fókaprém	hy:4
fókavadász	hy:4
fókavadászat	hy:4
fókusztávolság	hy:6
fõ-építésvezetõ	ph:fõépítésvezetõ
fõadó	hy:2
fõalak	hy:2
fõangyal	hy:2
fõapa	hy:2
fõapát	hy:2
fõapátság	hy:2
fõbejárat	hy:fõ||be|járat
fõbelövés	hy:4
fõbeszámoló	hy:fõ||be|számoló
fõbiztos	hy:2
fõbérlõ	hy:2
fõbíró	hy:2
fõbûn	hy:2
fõcsatorna	hy:2
fõcsoport	hy:2
fõcím	hy:2
fõdolgok	hy:2
fõdolog	hy:2
fõdíj	hy:2
fõdíjak	hy:2
fõelõadó	hy:2
fõember	hy:2
fõemlõs	hy:2
fõerek	hy:2
fõerõ	hy:2
fõesperes	hy:2
fõfal	hy:2
fõfalak	hy:2
fõfelügyelet	hy:2
fõfelügyelõ	hy:2
fõfelügyelõség	hy:2
fõfoglalkozás	hy:2
fõfogás	hy:2
fõforrás	hy:2
fõgimnázium	hy:2
fõgondnok	hy:2
fõgyökerek	hy:2
fõgyökér	hy:2
fõgyûjtõ	hy:2
fõgép	hy:2
fõhadiszállás	hy:2
fõhajtás	hy:2
fõhajó	hy:2
fõhatalmak	hy:2
fõhatalom	hy:2
fõherceg	hy:2
fõhivatás	hy:2
fõhomlokzat	hy:2
fõhõs	hy:2
fõideológus	hy:2
fõigazgató	hy:2
fõigazgatóság	hy:2
fõige	hy:2
fõiskola	hy:2
fõisten	hy:2
fõjegyzõ	hy:2
fõkapitány	hy:2
fõkapitányság	hy:2
fõkapu	hy:2
fõkertész	hy:2
fõkolompos	hy:2
fõkonzul	hy:2
fõkonzulátus	hy:2
fõkráter	hy:2
fõkép	hy:2
fõkönyv	hy:2
fõkönyvelõ	hy:2
fõkör	hy:2
fõlap	hy:2
fõmegbízott	hy:2
fõmenü	hy:2
fõmérnök	hy:2
fõnemes	hy:2
fõnemesség	hy:2
fõnevek	hy:2
fõnszél	hy:3
fõnyeremény	hy:2
fõnév	hy:2
fõoldal	hy:2
fõoldalak	hy:2
fõoltár	hy:2
fõoltárak	hy:2
fõorvos	hy:2
fõosztály	hy:2
fõpap	hy:2
fõparancsnok	hy:2
fõparancsnokság	hy:2
fõpincér	hy:2
fõpróba	hy:2
fõpásztor	hy:2
fõrabbi	hy:2
fõrend	hy:2
fõrendezõ	hy:2
fõrész	hy:2
fõsor	hy:2
fõszakács	hy:2
fõszerep	hy:2
fõszereplés	hy:2
fõszerkesztõ	hy:2
fõszerkesztõség	hy:2
fõszezon	hy:2
fõszponzor	hy:2
fõsík	hy:2
fõtanács	hy:2
fõtanácsadó	hy:2
fõtanácsos	hy:2
fõtartó	hy:2
fõtengely	hy:2
fõterek	hy:2
fõtiszt	hy:2
fõtitkár	hy:2
fõtámasz	hy:2
fõtámogató	hy:2
fõtár	hy:2
fõtárak	hy:2
fõtárgy	hy:2
fõtárgyak	hy:2
fõtárgyaló	hy:2
fõtéma	hy:2
fõtér	hy:2
fõtétel	hy:2
fõurak	hy:2
fõuralmak	hy:2
fõuralom	hy:2
fõutak	hy:2
fõutca	hy:2
fõvezér	hy:2
fõvonal	hy:2
fõvonalak	hy:2
fõvállalkozás	hy:2
fõvállalkozó	hy:2
fõvám	hy:2
fõváros	hy:2
fõvédnök	hy:2
fõznivaló	hy:5
fõzõalma	hy:4
fõzõedény	hy:4
fõzõkészülék	hy:4
fõzõmargarin	hy:4
fõzõtök	hy:4
fõág	hy:2
fõágak	hy:2
fõállás	hy:2
fõáram	hy:2
fõárbóc	hy:2
fõégõ	hy:2
fõépítész	hy:2
fõépület	hy:2
fõér	hy:2
fõétel	hy:2
fõétkezés	hy:2
fõív	hy:2
fõördög	hy:2
fõösszeg	hy:2
fõúr	hy:2
fõút	hy:2
fõügyész	hy:2
fõügyészség	hy:2
födémgerenda	hy:5
földadó	hy:4
földbirtok	hy:4
földbirtoklás	hy:4
földbirtokos	hy:4
földbér	hy:4
földcsusza	hy:4
földdarab	hy:4
földesurak	hy:6
földesúr	hy:6
földgömb	hy:4
földibolha	hy:5
földicseresznye	hy:5
földidió	hy:5
földigiliszta	hy:5
földikutya	hy:5
földimogyoró	hy:5
földitök	hy:5
földjáradék	hy:4
földkéreg	hy:4
földkérgek	hy:4
földköpeny	hy:4
földmunka	hy:4
földmûvelés	hy:4
földnyelv	hy:4
földpad	hy:4
földpát	hy:4
földrajz	hy:4
földrengés	hy:4
földreprivatizáció	hy:4
földrész	hy:4
földréteg	hy:4
földszegély	hy:4
földszint	hy:4
földszoros	hy:4
földsánc	hy:4
földsáv	hy:4
földtan	hy:4
földterület	hy:4
földtörténet	hy:4
földutak	hy:4
földönfutó	hy:6
földönkívüli	hy:6
földút	hy:4
fölülnézet	hy:5
fúrófej	hy:4
fúrógép	hy:4
fúrókalapács	hy:4
fúrólyuk	hy:4
fúrólyukak	hy:4
fúrótengely	hy:4
fúvócsõ	hy:4
fúvócsövek	hy:4
fúvókaszáj	hy:6
fúvókaszájak	hy:6
fúvószene	hy:fú-vós|ze-ne
fúvósötös	hy:5
fûcsomó	hy:2
fûmag	hy:2
fûnyírás	hy:2
fûnyíró	hy:2
fûrészbak	hy:6
fûrészfog	hy:6
fûrészfogak	hy:6
fûrészhajtogató	hy:6
fûrészhal	hy:6
fûrészhalak	hy:6
fûrészkeret	hy:6
fûrészmalmok	hy:6
fûrészmalom	hy:6
fûrésznyom	hy:6
fûrészpad	hy:6
fûrészpor	hy:6
fûrésztelep	hy:6
fûrészáru	hy:6
fûrészélesítõ	hy:6
fûszer	hy:2
fûszál	hy:2
fûszálak	hy:2
fûtenivaló	hy:6
fûtéskeringtetõ	hy:5
fûtõanyag	hy:4
fûtõház	hy:4
fûtõházak	hy:4
fûtõmû	hy:4
fûtõmûvek	hy:4
fûtõszál	hy:4
fûtõszálak	hy:4
fûtõtest	hy:4
fûzfa	hy:3
fûzõkarika	hy:4
fûzõkészítõ	hy:4
fûzõmerevítõ	hy:4
fûzõtû	hy:4
fûzõvédõ	hy:4
fügefa	hy:4
fügekaktusz	hy:4
függvényábra	hy:8
függõlámpa	hy:5
függõpálya	hy:5
függõágy	hy:5
függõágyak	hy:5
függönykarnis	hy:7
függönyrudak	hy:7
függönyrúd	hy:7
függönytartó	hy:7
fülbemászó	hy:5
fülbevaló	hy:5
fülbélyegzés	hy:3
fülcimpa	hy:3
füldugó	hy:3
fülesbaglyok	hy:5
fülesbagoly	hy:5
fülfájás	hy:3
fülgyulladás	hy:3
fülkagyló	hy:3
fülszöveg	hy:3
fültõ	hy:3
fültövek	hy:3
fülvédõ	hy:3
fülzsír	hy:3
fülönfogás	hy:5
fülönfüggõ	hy:5
fürdõdressz	hy:5
fürdõhely	hy:5
fürdõkád	hy:5
fürdõkádak	hy:5
fürdõköpeny	hy:5
fürdõpapucs	hy:5
fürdõruha	hy:5
fürdõszoba	hy:5
fürkészdarázs	hy:7
fürtvirágzat	hy:4
füstakna	hy:4
füstcsiga	hy:4
füstcsõ	hy:4
füstcsövek	hy:4
füstgomoly	hy:4
füstgomolyag	hy:4
füstifecske	hy:5
füstköd	hy:4
füveshere	hy:5
füvészkönyv	hy:6
füzérdíszítés	hy:5
gabonafelvásárlás	hy:6
galacsinhajtó	hy:8
galagonyavirág	hy:9
galambbúgás	hy:6
galambdúc	hy:6
galambfióka	hy:6
galandféreg	hy:6
galandférgek	hy:6
ganajtúró	hy:5
garancialevelek	hy:8
garancialevél	hy:8
garathurut	hy:5
gazemberség	hy:3
gazométer	hy:5
gaztett	hy:3
gennyfolyás	hy:5
gennyképzõdés	hy:5
gennyzacskó	hy:5
gentleman	ph:dzsentlmen
gerbeaud-i	ph:zserbói
gerendacsatlakozás	hy:7
gerendakötés	hy:7
gerendaszállító	hy:7
gerendatartó	hy:7
gerinchúros	hy:6
gerincvelõ	hy:6
germicidlámpa	hy:8
germániumdióda	hy:9
gesztenyefa	hy:9
gibibyte-	ph:gibibájt
gibibyte-os	ph:gibibájtos
gibibyte-tal	ph:gibibájttal
gibibyte-tá	ph:gibibájttá
gibibyte	ph:gibibájt
gigabyte-	ph:gigabájt
gigabyte-os	ph:gigabájtos
gigabyte-tal	ph:gigabájttal
gigabyte-tá	ph:gigabájttá
gigabyte	ph:gigabájt
gilisztahajtó	hy:8
ginszenggyökerek	hy:ginszeng|gyökér
ginszenggyökér	hy:ginszeng|gyökér
gironde-	ph:zsirond
gironde-dal	ph:zsironddal
gironde-dá	ph:zsironddá
gironde-i	ph:zsirondi
gironde	ph:zsirond
glasgow-i	ph:glazgói
gleccsernyelv	hy:8
glicerinbórax	hy:8
gloire-	ph:gloár
gloire-ral	ph:gloárral
gloire-rá	ph:gloárrá
gloire	ph:gloár
gnocchi	ph:nyokki
gobelin	ph:goblen	ph:goblejn
gobelinöltés	hy:7
gofri	ph:waffle	ph:waffel
golfjáték	hy:4
golfklub	hy:4
golflabda	hy:4
golfpálya	hy:4
golfütés	hy:4
golfütõ	hy:4
golgotavirág	hy:7
golyófogó	hy:5
golyósmalmok	hy:6
golyósmalom	hy:6
golyósszelep	hy:go-lyós|sze-lep
golyóstoll	hy:6
golyóstollak	hy:6
golyóütõ	hy:5
gombacsíra	hy:5
gomblyuk	hy:4
gomblyukak	hy:4
gombnyomás	hy:4
gombostû	hy:6
gomolyfelhõ	hy:6
gondolatgazdagság	hy:8
gondolatjel	hy:8
gondolatmenet	hy:8
gondolatolvasás	hy:8
gondolatpótló	hy:8
gondolatátvitel	hy:gondolat||át|vitel
gondolkodásmód	hy:11
gondozónõ	hy:7
google-os	ph:guglos
gospel	ph:goszpel
gouache-	ph:guás	ph:gvas
gouache-os	ph:guásos	ph:gvasos
gouache-sal	ph:guással	ph:gvassal
gouache-sá	ph:guássá	ph:gvassá
gouache	ph:guás	ph:gvas
gourmand-	ph:gurman
gourmand-nal	ph:gurmannal
gourmand-ná	ph:gurmanná
gourmand-os	ph:gurmanos
gourmand	ph:gurman
greenpeace-es	ph:grímpíszes
grizzly	ph:grizli	hy:grizz-l.y
groupwise-os	ph:grúpvájzos
gránitgneisz	hy:6
grépfrút	ph:grapefruit
grízesliszt	hy:6
gubacsdarazsak	hy:6
gubacsdarázs	hy:6
guillotine-	ph:gijotin	ph:giotin
guillotine-nal	ph:gijotinnal	ph:giotinnal
guillotine-ná	ph:gijotinná	ph:giotinná
guillotine-os	ph:gijotinos	ph:giotinos
guillotine-t	ph:gijotint	ph:giotint
guillotine	ph:gijotin	ph:giotin
gulyásbojtár	hy:6
gulyáshús	hy:6
gulyásleves	hy:6
gulyáságyú	hy:6
gumibot	hy:4
gumibélyegzõ	hy:4
gumicsizma	hy:4
gumicukorka	hy:4
gumidefekt	hy:4
gumitalp	hy:4
gumitalpak	hy:4
gurítókerekek	hy:6
gurítókerék	hy:6
gurítókötelek	hy:6
gurítókötél	hy:6
gutaütés	hy:4
gyakorlóterek	hy:8
gyakorlótér	hy:8
gyaloghidak	hy:6
gyaloghintó	hy:6
gyaloghíd	hy:6
gyalogjáró	hy:6
gyalogszán	hy:6
gyalogtempó	hy:6
gyalogtúra	hy:6
gyalogutak	hy:6
gyalogösvény	hy:6
gyalogút	hy:6
gyalupad	hy:5
gyaluvas	hy:5
gyaluvasak	hy:5
gyapjaslepke	hy:7
gyapjastetû	hy:7
gyapjúanyag	hy:6
gyapjúfonalak	hy:6
gyapjúfonál	hy:6
gyapjúhímzés	hy:6
gyapjúmellény	hy:6
gyapjúpihe	hy:6
gyapjúsapka	hy:6
gyapjúszõnyeg	hy:6
gyapjúszövet	hy:6
gyapjúujjas	hy:6
gyapjúzsír	hy:6
gyapjúáru	hy:6
gyapotbársony	hy:6
gyapotszövet	hy:6
gyapottermelõ	hy:6
gyengeáram	hy:6
gyengénlátó	hy:7
gyepszõnyeg	hy:4
gyeptégla	hy:4
gyerekbolond	hy:6
gyerekjáték	hy:6
gyerekruha	hy:6
gyerekszoba	hy:6
gyermekbolond	hy:7
gyermekgyilkosság	hy:7
gyermekgyógyászat	hy:7
gyermekjáték	hy:7
gyermekkocsi	hy:7
gyermekkor	hy:7
gyermekszoba	hy:7
gyermektápszer	hy:7
gyermekágy	hy:7
gyermekágyak	hy:7
gyermekétel	hy:7
gyertyabelek	hy:7
gyertyabél	hy:7
gyertyafény	hy:7
gyertyaláb	hy:7
gyertyalábak	hy:7
gyertyatartó	hy:7
gyertyaöntõ	hy:7
gyertyánfa	hy:8
gyomirtó	hy:4
gyomnövény	hy:4
gyomorbaj	hy:6
gyomorfájás	hy:6
gyomorhurut	hy:6
gyomormosó	hy:6
gyomorszáj	hy:6
gyomorszájak	hy:6
gyomortartalmak	hy:6
gyomortartalom	hy:6
gyomortükrök	hy:6
gyomortükör	hy:6
gyomorégés	hy:6
gyorsacél	hy:5
gyorscsárdás	hy:5
gyorsfelvonó	hy:5
gyorsfonó	hy:5
gyorsforgalmak	hy:5
gyorsforgalom	hy:5
gyorsfutár	hy:5
gyorsfuvar	hy:5
gyorshajó	hy:5
gyorshitel	hy:5
gyorshír	hy:5
gyorsjelentés	hy:5
gyorsjárat	hy:5
gyorskeresõ	hy:5
gyorskiszolgáló	hy:5
gyorskocsi	hy:5
gyorskorcsolya	hy:5
gyorskorcsolyázó	hy:5
gyorskölcsön	hy:5
gyorsküldemény	hy:5
gyorslift	hy:5
gyorslista	hy:5
gyorslépés	hy:5
gyorsmosás	hy:5
gyorsmérleg	hy:5
gyorsnaszád	hy:5
gyorsnyomda	hy:5
gyorsolvasás	hy:5
gyorsolvasó	hy:5
gyorspolka	hy:5
gyorsreaktor	hy:5
gyorsrendezés	hy:5
gyorsrizs	hy:5
gyorssajtó	hy:5
gyorssegély	hy:5
gyorsszekerek	hy:gyors|szekér
gyorsszekér	hy:gyors|szekér
gyorsszerviz	hy:gyors|szer-viz
gyorstalpaló	hy:5
gyorsteher	hy:5
gyorsterhek	hy:5
gyorsteszt	hy:5
gyorstipp	hy:5
gyorstár	hy:5
gyorstárak	hy:5
gyorsvasutak	hy:gyors||vas|út
gyorsvasút	hy:gyors||vas|út
gyorsvonat	hy:5
gyorsvágás	hy:5
gyorsvágó	hy:5
gyorsváltó	hy:5
gyorsáru	hy:5
gyorsétkezde	hy:5
gyorsétterem	hy:gyors||ét|terem
gyorséttermek	hy:gyors||ét|terem
gyorsírás	hy:5
gyorsíró	hy:5
gyorsírónõ	hy:8
gyorsúszás	hy:5
gyorsúszó	hy:5
gyufaskatulya	hy:5
gyámfa	hy:4
gyámhatóság	hy:4
gyámkõ	hy:4
gyámkövek	hy:4
gyámpont	hy:4
gyáripar	hy:4
gyártelep	hy:4
gyászdal	hy:5
gyászeset	hy:5
gyászfátylak	hy:5
gyászfátyol	hy:5
gyászinduló	hy:5
gyászjelentés	hy:5
gyászlepel	hy:5
gyászleplek	hy:5
gyászmenet	hy:5
gyászmise	hy:5
gyászruha	hy:5
gyásszertartás	hy:5
gyászének	hy:5
gyékényfonat	hy:7
gyékényszõnyeg	hy:7
gyémántpor	hy:7
gyíkfû	hy:4
gyíkfüvek	hy:4
gyógybor	hy:5
gyógycipõ	hy:5
gyógycukor	hy:5
gyógycukrok	hy:5
gyógyeljárás	hy:5
gyógyerõ	hy:5
gyógyeszköz	hy:5
gyógyforrás	hy:5
gyógyfû	hy:5
gyógyfürdõ	hy:5
gyógyfüvek	hy:5
gyógyfüves	hy:5
gyógyhatás	hy:5
gyógyhely	hy:5
gyógyintézet	hy:5
gyógyiszap	hy:5
gyógyital	hy:5
gyógykenyerek	hy:5
gyógykenyér	hy:5
gyógykenõcs	hy:5
gyógykezelés	hy:5
gyógykovács	hy:5
gyógymasszázs	hy:5
gyógymedence	hy:5
gyógymód	hy:5
gyógynövény	hy:5
gyógypapucs	hy:5
gyógypedagógia	hy:5
gyógypedagógus	hy:5
gyógyszappan	hy:5
gyógyszer	hy:5
gyógyszerelés	hy:5
gyógyszertár	hy:10
gyógyszertárak	hy:10
gyógyszerész	hy:5
gyógyszálloda	hy:5
gyógyszálló	hy:5
gyógytan	hy:5
gyógytea	hy:5
gyógytorna	hy:5
gyógytornász	hy:5
gyógytényezõ	hy:5
gyógyvizek	hy:5
gyógyvíz	hy:5
gyógyír	hy:5
gyógyüdülés	hy:5
gyógyüdülõ	hy:5
gyóntatószék	hy:8
gyömbérgyökerek	hy:7
gyömbérgyökér	hy:7
gyöngydíszítés	hy:6
gyöngyfény	hy:6
gyöngyházszínû	hy:gyöngy|ház||színû
gyöngykagyló	hy:6
gyöngyköles	hy:6
gyöngysor	hy:6
gyöngytyúk	hy:6
gyöngyvesszõ	hy:6
gyújtáselosztó	hy:7
gyújtásmegszakító	hy:7
gyújtóbomba	hy:6
gyújtógyertya	hy:6
gyújtókanóc	hy:6
gyújtólencse	hy:6
gyújtópont	hy:6
gyújtósfa	hy:7
gyújtószerkezet	hy:6
gyújtótávolság	hy:6
gyújtózsinór	hy:6
gyúródeszka	hy:5
gyûjtõhombár	hy:6
gyûjtõmedence	hy:6
gyûjtõnevek	hy:6
gyûjtõnév	hy:6
gyûrûscsapágy	hy:gyûrûs||csap|ágy
gyûrûscsapágyak	hy:gyûrûs||csap|ágy
gyûrûsfonó	hy:6
gyûrûsféreg	hy:6
gyûrûsférgek	hy:6
gyûrûsmalmok	hy:6
gyûrûsmalom	hy:6
gyûrûsujj	hy:6
gyûrûsujjak	hy:6
gyûszûvirág	hy:6
gyümölcscukor	hy:8
