œuvre-	ph:ővr	ph:oeuvre
œuvre-rel	ph:ővrrel	ph:oeuvrerel
œuvre-ré	ph:ővrré	ph:oeuvreré
œuvre	ph:ővr	ph:oeuvre
-házhozszállítás	hy:|ház-hoz|szál-lí-tás
ernyőváz	hy:5
ernyővázak	hy:5
erőfeszítés	hy:3
erőgyakorlat	hy:3
erőgyűjtés	hy:3
erőgép	hy:3
erőkifejtés	hy:3
erőmérő	hy:3
erőmű	hy:3
erőművek	hy:3
erőművész	hy:3
erőnlét	hy:4
erőszak	hy:3
erőterek	hy:3
erőtér	hy:3
erőátvitel	hy:3
escape-	ph:eszkép
escape-es	ph:eszképes
escape-pel	ph:eszképpel
escape-pé	ph:eszképpé
escape	ph:eszkép
esetjog	hy:4
esküdtszék	hy:6
esküvő	hy:4
eszközvonzat	hy:6
eszmecsere	hy:5
eszpresszógép	hy:10
esztergapad	hy:8
esztergatüske	hy:8
esőcsöpp	hy:3
esőkabát	hy:3
esőköpeny	hy:3
esőmérő	hy:3
esővizek	hy:3
esővíz	hy:3
eunuch	ph:eunuh
evezőlapát	hy:5
evezőnyelek	hy:5
evezőnyél	hy:5
evezősverseny	hy:6
evezőtoll	hy:5
evezőtollak	hy:5
evezővilla	hy:5
evőeszköz	hy:3
evőkészlet	hy:3
evőpálcika	hy:3
exbajnok	hy:2
exbarát	hy:2
excentermozgás	hy:8
excentersajtó	hy:8
exchange-es	ph:ikszcséndzses
exdiktátor	hy:2
exelnök	hy:2
exfeleség	hy:2
exfradista	hy:2
exférj	hy:2
exkirály	hy:2
exkommunikáció	hy:2
exkommunista	hy:2
exminiszter	hy:2
expasi	hy:2
expolitikus	hy:2
exportár	hy:6
exportárak	hy:6
exportáru	hy:6
expresszjárat	hy:8
expresszlevelek	hy:8
expresszlevél	hy:8
expresszvonat	hy:8
exterritórium	hy:2
extragalaxis	hy:5
extraprofit	hy:5
ezerjófű	hy:6
ezerjófüvek	hy:6
ezerkilencszáz		hy:c|sz
ezerkilencszázad		hy:c|sz
ezerkilencszázadik		hy:c|sz
ezerkilencszázan	hy:c|sz
ezerkilencszázas		hy:c|sz
ezermester	hy:4
ezernyolcszáz		hy:c|sz
ezernyolcszázad		hy:c|sz
ezernyolcszázadik		hy:c|sz
ezernyolcszázan	hy:c|sz
ezernyolcszázas		hy:c|sz
ezredbeosztás	hy:5
ezredforduló	hy:5
ezrediroda	hy:5
ezredorvos	hy:5
ezredtörzs	hy:5
ezredvég	hy:5
ezüstlakodalmak	hy:5
ezüstlakodalom	hy:5
ezüstpapír	hy:5
ezüstpénz	hy:5
ezüstvasárnap	hy:5
faanyag	hy:2
faburkolat	hy:2
fabáb	hy:2
fabábu	hy:2
fach	ph:fah
facsarógép	hy:7
facsavar	hy:2
facsemete	hy:2
facsoport	hy:2
fadarab	hy:2
fadob	hy:2
faeke	hy:2
fafaj	hy:2
fafaragás	hy:2
fafaragó	hy:2
fafej	hy:2
fafeldolgozás	hy:2
fafeldolgozó	hy:2
faforgács	hy:2
fafúvós	hy:2
fagyosszent	hy:fagyos|szent
fagypont	hy:4
fagyásgátló	hy:6
fagyöngy	hy:2
fahidak	hy:2
faház	hy:2
faházak	hy:2
fahéj	hy:2
fahéjak	hy:2
fahíd	hy:2
faipar	hy:2
faiskola	hy:2
fajdkakas	hy:4
fajdtyúk	hy:4
fajhő	hy:3
fajirtás	hy:3
fajkeveredés	hy:3
fajkultusz	hy:3
fajnemesítés	hy:3
fajsúly	hy:3
fajáték	hy:2
fakalapács	hy:2
fakanalak	hy:2
fakanál	hy:2
fakereskedő	hy:2
fakereszt	hy:2
fakitermelés	hy:2
fakitermelő	hy:2
fakivágás	hy:2
fakocka	hy:2
fakultációvezető	hy:10
fakunyhó	hy:2
fakéreg	hy:2
fakérgek	hy:2
fakóérc	hy:4
fakötés	hy:2
falap	hy:2
falatozóhely	hy:8
falborítás	hy:3
falburkolat	hy:3
falburkolás	hy:3
falburkoló	hy:3
falevelek	hy:2
falevél	hy:2
falfestmény	hy:3
falfestés	hy:3
falfülke	hy:3
falifogas	hy:4
falikar	hy:4
falilámpa	hy:4
falimosdó	hy:4
faliszekrény	hy:4
faliszekrényke	hy:4
faliszőnyeg	hy:4
falitányér	hy:4
falitükrök	hy:4
falitükör	hy:4
faliállvány	hy:4
falióra	hy:4
falkapcsok	hy:3
falkapocs	hy:3
falkavadászat	hy:5
falkiugrás	hy:fal||ki|ugrás
falovak	hy:2
falpillér	hy:3
falragasz	hy:3
falrész	hy:3
falsarkak	hy:3
falsarok	hy:3
falszakasz	hy:3
faltörő	hy:3
falurossza	hy:4
faluszépe	hy:4
falvédő	hy:3
faláb	hy:2
falábak	hy:2
faléc	hy:2
falépítő	hy:3
faló	hy:2
falósejt	hy:4
famegmunkáló	hy:2
fametszet	hy:2
fametszés	hy:2
fametsző	hy:2
famunka	hy:2
fantasy	ph:fentezi
faodú	hy:2
fapad	hy:2
fapor	hy:2
fapác	hy:2
far‑hát	ph:farhát
faragókés	hy:6
farakás	hy:2
farkasbab	hy:6
farkasfog	hy:6
farkasfogak	hy:6
farkaskölykök	hy:6
farkaskölyök	hy:6
farkasétvágy	hy:8
farkasétvágyak	hy:8
farkcsóválás	hy:4
farktoll	hy:4
farktollak	hy:4
farlámpa	hy:3
farmernadrág	hy:6
farost	hy:2
farpofa	hy:3
farsangvasárnap	hy:7
fartő	hy:3
fartőke	hy:3
fartövek	hy:3
farudak	hy:2
farönk	hy:2
farúd	hy:2
fasor	hy:2
faszeg	hy:2
faszenek	hy:2
faszerkezet	hy:2
faszesz	hy:2
faszobrászat	hy:2
faszén	hy:2
fatelep	hy:2
fatemplom	hy:2
fatok	hy:2
fatuskó	hy:2
fatábla	hy:2
fatál	hy:2
fatálak	hy:2
fatányér	hy:2
fatönk	hy:2
fatörzs	hy:2
fatüzelés	hy:2
favágás	hy:2
favágó	hy:2
favár	hy:2
favárak	hy:2
faváz	hy:2
favázak	hy:2
fazekaskorong	hy:7
fazsindely	hy:2
faág	hy:2
faágak	hy:2
faágy	hy:2
faágyak	hy:2
faállomány	hy:2
faáru	hy:2
faék	hy:2
faültetés	hy:2
fedelesszárnyú	hy:fe-de-les|szár-nyú
fedettpálya	hy:6
fedlap	hy:3
fedélköz	hy:5
fedőanyag	hy:4
fedőhártya	hy:4
fedőkő	hy:4
fedőkövek	hy:4
fedőszerv	hy:4
feeling	ph:fíling
fegyelemszegés	hy:8
fegyvercsempészés	hy:7
fegyverfurat	hy:7
fegyvergyár	hy:7
fegyvergyárak	hy:7
fegyvergyáros	hy:7
fegyvermester	hy:7
fegyverravasz	hy:7
fegyverszünet	hy:7
fegyverterem	hy:7
fegyvertermek	hy:7
fegyvertöltet	hy:7
fehérarany	hy:5
fehéraranyak	hy:5
fehérasztal	hy:5
fehérbor	hy:5
fehérbors	hy:5
fehérbádog	hy:5
fehérbárány	hy:5
fehérgyökerek	hy:5
fehérgyökér	hy:5
fehérgárdista	hy:5
fehérmáj	hy:5
fehérmájak	hy:5
fehérnemű	hy:5
fehérpecsenye	hy:5
fehérpenész	hy:5
fehérrezek	hy:5
fehérréz	hy:5
fehérszemély	hy:5
fehérterror	hy:5
fehérterrorista	hy:5
fehértörés	hy:5
fehérvasárnap	hy:5
fehérállomány	hy:5
fehéráru	hy:5
fejadag	hy:3
fejadó	hy:3
fejbólintás	hy:3
fejbőr	hy:3
fejdísz	hy:3
fejedelemasszony	hy:9
fejesmoszat	hy:5
fejespenész	hy:5
fejfa	hy:3
fejfájás	hy:3
fejgerenda	hy:3
fejgörcs	hy:3
fejhallgató	hy:3
fejkendő	hy:3
fejkötő	hy:3
fejlábú	hy:3
fejléc	hy:3
fejlövés	hy:3
fejmosás	hy:3
fejmozdulat	hy:3
fejrész	hy:3
fejseb	hy:3
fejtető	hy:3
fejtámasz	hy:3
fejtőkés	hy:5
fejtörő	hy:3
fejvédő	hy:3
fejődézsa	hy:4
fejőstehenek	hy:5
fejőstehén	hy:5
feketedoboz	hy:6
feketefenyő	hy:6
feketefoglalkoztatás	hy:6
feketeforgalmak	hy:6
feketeforgalom	hy:6
feketefuvar	hy:6
feketegazdaság	hy:6
feketegyökerek	hy:6
feketegyökér	hy:6
feketejövedelem	hy:6
feketejövedelmek	hy:6
feketekereskedelem	hy:6
feketekereskedelmek	hy:6
feketekávé	hy:6
feketeleves	hy:6
feketelista	hy:6
feketemunka	hy:6
feketepenész	hy:6
feketepiac	hy:6
feketerigó	hy:6
feketesugárzó	hy:6
feketeszenek	hy:6
feketeszáz	hy:6
feketeszázak	hy:6
feketeszén	hy:6
feketetörés	hy:6
feketevasárnap	hy:6
feketevágás	hy:6
feketeár	hy:6
feketeárak	hy:6
feketeáru	hy:6
feketeárus	hy:6
feketeüzlet	hy:6
fekvőhely	hy:5
fekvőtámasz	hy:5
felebarát	hy:4
felföld	hy:3
felhang	hy:3
felhevülés	hy:3
felhám	hy:3
felház	hy:3
felházak	hy:3
felhőfoszlány	hy:5
felhőgomoly	hy:5
felhőkarcoló	hy:5
felhőszakadás	hy:5
felirat	hy:3
feljáró	hy:3
felkar	hy:3
fellegvár	hy:6
fellegvárak	hy:6
fellevelek	hy:3
fellevél	hy:3
felnőttválogatott	hy:7
felpénz	hy:3
felszállópálya	hy:9
felszállóág	hy:9
felszállóágak	hy:9
felszél	hy:3
felszín	hy:3
felszívódás	hy:3
felszőr	hy:3
felségterület	hy:6
felsőajak	hy:5
felsőbőr	hy:5
felsőfok	hy:5
felsőgeodézia	hy:5
felsőház	hy:5
felsőházak	hy:5
felsőkabát	hy:5
felsőkar	hy:5
felsőoktatás	hy:5
felsőruha	hy:5
felsőrész	hy:5
felsőtest	hy:5
felsőtábla	hy:5
felsővezeték	hy:5
felsőváros	hy:5
feltűnéskeltés	hy:8
felvidék	hy:3
felvonóhidak	hy:7
felvonóhíd	hy:7
felár	hy:3
felárak	hy:3
felépítmény	hy:3
felírás	hy:3
felülbírálat	hy:5
felüljáró	hy:5
felülnézet	hy:5
felülvilágító	hy:5
felülvizsgálat	hy:5
fengsuj	ph:fengshui
fenilcsoport	hy:5
fennhatóság	hy:4
fennsík	hy:4
fenyérfű	hy:6
fenyérfüvek	hy:6
fenyőerdő	hy:5
fenyőfa	hy:5
fenyőgyanta	hy:5
fenyőpálinka	hy:5
fenyőtoboz	hy:5
fenyőtű	hy:5
fenékmoréna	hy:5
fenéksúly	hy:5
fenőacél	hy:4
fenőkő	hy:4
fenőkövek	hy:4
fenőszíj	hy:4
fenőszíjak	hy:4
ferblijátszma	hy:6
ferritantenna	hy:6
ferritmemória	hy:6
fertőtlenítőszer	hy:12
fertőzőosztály	hy:7
festékanyag	hy:6
festékesbögre	hy:8
festékesdoboz	hy:8
festékfecskendő	hy:6
festéklap	hy:6
festékpárna	hy:6
festékréteg	hy:6
festőecset	hy:5
festőfű	hy:5
festőfüvek	hy:5
festőnő	hy:5
festősablon	hy:5
festőállvány	hy:5
fesztivál	ph:festival
feszítőizmok	hy:7
feszítőizom	hy:7
feszítőkeret	hy:7
feszítővas	hy:7
feszítővasak	hy:7
feszítőzabla	hy:7
feszültségkiegyenlítő	hy:10
feszültségmérő	hy:10
fiahordó	hy:3
fiatalurak	hy:6
fiatalúr	hy:6
fiatornyok	hy:3
fiatorony	hy:3
figyelembevétel	hy:10
filmakadémia	hy:4
filmdarab	hy:4
filmfelvevő	hy:4
filmfelvétel	hy:4
filmfelvételezés	hy:4
filmipar	hy:4
filmjelenet	hy:4
filmkocka	hy:4
filmkölcsönző	hy:4
filmstatiszta	hy:4
filmszcenárium	hy:4
filmtekercs	hy:4
filmvetítő	hy:4
filmvágó	hy:4
filmábrázolás	hy:4
finomacél	hy:5
finomfőzelék	hy:5
finomkerámia	hy:5
finomlemez	hy:5
finomliszt	hy:5
finommechanika	hy:5
finommegmunkálás	hy:5
finommunka	hy:5
finomolaj	hy:5
finomolajak	hy:5
finomszesz	hy:5
finomszűrő	hy:5
firmware-	ph:főmver
firmware-es	ph:főmveres
firmware-rel	ph:főmverrel
firmware-ré	ph:főmverré
firmware-t	ph:főmvert
firmware	ph:főmver
firngyűjtő	hy:4
fivér	hy:2
fizetéscsökkentés	hy:7
fizetésemelés	hy:7
fiág	hy:2
fiágak	hy:2
fiókgerenda	hy:4
flaubert-es	ph:floberes
flaubert-i	ph:floberi
flokonruha	hy:6
flopi	ph:floppy
flow-	ph:fló
flow-val	ph:flóval
flow-vá	ph:flóvá
flow	ph:fló
flóbertpuska	hy:7
flórfonal	hy:4
flórharisnya	hy:4
fodorkel	hy:5
fodormenta	hy:5
fogadóhelyiség	hy:6
fogadónap	hy:6
fogadószoba	hy:6
fogadóterem	hy:6
fogadótermek	hy:6
fogalomcsere	hy:7
fogalomkör	hy:7
fogalomírás	hy:7
fogamzásgátlás	hy:8
fogamzásgátló	hy:8
fogaskerekek	hy:5
fogaskerekű	hy:5
fogaskerék	hy:5
fogathajtó	hy:5
fogcsikorgatás	hy:3
fogfájás	hy:3
fogfű	hy:3
fogfüvek	hy:3
fogház	hy:3
fogházak	hy:3
foghézag	hy:3
foghíj	hy:3
foghíjak	hy:3
foghús	hy:3
fogkefe	hy:3
fogkorona	hy:3
fogkő	hy:3
fogkövek	hy:3
fogmű	hy:3
fogművek	hy:3
fogpiszkáló	hy:3
fogpor	hy:3
fogsor	hy:3
fogtömés	hy:3
fogvicsorgató	hy:3
fogvicsorítás	hy:3
fogvájó	hy:3
fogyatékosügy	hy:10
fogíny	hy:3
fogív	hy:3
fogólap	hy:4
fojtószelep	hy:5
fokhagyma	hy:3
fokél	hy:3
fokív	hy:3
foltkiemelés	hy:4
foltmarás	hy:4
folyadékcsepp	hy:8
folyadékmennyiség	hy:8
folyadékmozgás	hy:8
folyadéktartály	hy:8
folyamterület	hy:6
folytacél	hy:5
folytvas	hy:5
folytvasak	hy:5
folyóirat	hy:5
folyókanyar	hy:5
folyómeder	hy:5
folyómedrek	hy:5
folyópart	hy:5
folyószakasz	hy:5
folyószámla	hy:5
folyótorkolat	hy:5
folyóvizek	hy:5
folyóvíz	hy:5
folyóág	hy:5
folyóágak	hy:5
fonalcsomó	hy:5
fonalköteg	hy:5
fondant-	ph:fondan
fondant-nal	ph:fondannal
fondant-ná	ph:fondanná
fondant	ph:fondan
fonométer	hy:5
fonógép	hy:4
fordulatszám	hy:8
fordulópont	hy:7
forgattyúcsap	hy:9
forgattyúház	hy:9
forgattyúházak	hy:9
forgattyúsház	hy:10
forgattyúsházak	hy:10
forgatókönyv	hy:7
forgatónyomaték	hy:7
forgáscsap	hy:6
forgásszimmetrikus	hy:for-gás|szim-met-ri-kus
forgóajtó	hy:5
forgóhidak	hy:5
forgóhíd	hy:5
forgókereszt	hy:5
forgókorlát	hy:5
forgópisztoly	hy:5
forgópánt	hy:5
forgórész	hy:5
forgósorompó	hy:5
forgószelek	hy:5
forgószél	hy:5
forgózsámoly	hy:5
formaruha	hy:5
forrasztócső	hy:9
forrasztócsövek	hy:9
forrasztóeszköz	hy:9
forrasztólámpa	hy:9
forráskutató	hy:6
forrásmű	hy:6
forrásművek	hy:6
forráspont	hy:6
forrásvizek	hy:6
forrásvíz	hy:6
forródrót	hy:5
forróláz	hy:5
forrólázak	hy:5
forrónadrág	hy:5
fortepiano	hy:5
foszforossav	hy:9
foszforossavak	hy:9
fotócikk	hy:4
fotómontázs	hy:4
foucault-i	ph:fukói
foucault-s	ph:fukós
franchise-	ph:frencsájz
franchise-os	ph:frencsájzos
franchise-zal	ph:frencsájzzal
franchise-zá	ph:frencsájzzá
franchise	ph:frencsájz
franciaablak	hy:7
franciadrazsé	hy:7
franciaerkély	hy:7
franciakert	hy:7
franciakrémes	hy:7
franciakulcs	hy:7
franciakönyv	hy:7
franciaperje	hy:7
franciasaláta	hy:7
franciatanár	hy:7
franciaágy	hy:7
franciaágyak	hy:7
franciaóra	hy:7
freeware-	ph:fríver
freeware-es	ph:fríveres
freeware-rel	ph:fríverrel
freeware-ré	ph:fríverré
freeware-t	ph:frívert
freeware	ph:fríver
frekvenciasáv	hy:10
frissdiplomás	hy:5
frissensült	hy:7
frontszakasz	hy:5
frontváltozás	hy:5
frottírkefe	hy:7
frottírpelenka	hy:7
frottírtörölköző	hy:7
frottírtörülköző	hy:7
funkcionálanalízis	hy:10
funky	ph:fánki
futball	ph:football
futballbelső	hy:7
futballkupa	hy:7
futballpálya	hy:7
futóhomok	hy:4
futóléc	hy:4
futólépés	hy:4
futómű	hy:4
futóművek	hy:4
futónövény	hy:4
futópálya	hy:4
futórózsa	hy:4
futószerkezet	hy:4
futószőnyeg	hy:4
futótűz	hy:4
futótüzek	hy:4
futóverseny	hy:4
futóárkok	hy:4
futóárok	hy:4
fuvardíj	hy:5
fuvardíjak	hy:5
fuvarlevelek	hy:5
fuvarlevél	hy:5
fácánsült	hy:5
fáklyatartó	hy:6
fáklyásmenet	hy:7
fáklyászene	hy:fák-lyás|zene
fáskamra	hy:3
fáskosarak	hy:3
fáskosár	hy:3
fásláda	hy:3
fáspince	hy:3
fásszárú	hy:fás|szá-rú
fásszín	hy:fás|szín
fátyolfelhő	hy:6
fátyolszövet	hy:6
fáziskülönbség	hy:5
fékezőrakéta	hy:6
féksaru	hy:3
féktáv	hy:3
fékutak	hy:3
fékút	hy:3
félbeszakítás	hy:5
félcipő	hy:3
félemelet	hy:3
félfa	hy:3
félfülke	hy:3
félgömb	hy:3
félhalott	hy:3
félhang	hy:3
félhangzó	hy:3
félhold	hy:3
félholdak	hy:3
félhomály	hy:3
félidő	hy:3
féligazság	hy:fél|i=gaz-ság
félisten	hy:3
félkészexport	hy:7
félkör	hy:3
félmúlt	hy:3
félmúltak	hy:3
félnivaló	hy:5
félpennys	hy:fél|pen-nys
félprofil	hy:3
félproletár	hy:3
félrebeszélés	hy:5
félreeső	hy:5
félremagyarázás	hy:5
félreszólás	hy:5
félretevés	hy:5
félretétel	hy:5
félreugrás	hy:5
félrevezetés	hy:5
félrevezető	hy:5
félreértés	hy:5
félselyem	hy:3
félselymek	hy:3
félsivatag	hy:3
félszegúszó	hy:7
félsziget	hy:3
félteke	hy:3
féltenivaló	hy:7
félutak	hy:3
félvariogram	hy:3
félvezető	hy:3
félár	hy:3
félárak	hy:3
félárbóc	hy:3
félév	hy:3
félút	hy:3
fémbélés	hy:3
fémcsésze	hy:3
fémdarab	hy:3
fémedény	hy:3
fémfinomító	hy:3
fémforgács	hy:3
fémfűrész	hy:3
fémfüst	hy:3
fémgyártás	hy:3
fémgömb	hy:3
fémhab	hy:3
fémhulladék	hy:3
fémhártya	hy:3
fémjelzés	hy:3
fémkupa	hy:3
fémmunka	hy:3
fémmű	hy:3
fémművek	hy:3
fémpoharak	hy:3
fémpohár	hy:3
fémrudak	hy:3
fémrúd	hy:3
fémsó	hy:3
fémtisztító	hy:3
fémtábla	hy:3
fémtömb	hy:3
fémvizsgálás	hy:3
fémöntés	hy:3
fémüst	hy:3
fényforrás	hy:4
fényjelzés	hy:4
fénykerülés	hy:4
fénykisugárzás	hy:4
fénykoszorú	hy:4
fénykép	hy:4
fényképezőgép	hy:10
fényképezőlemez	hy:10
fénykéve	hy:4
fénymásolat	hy:4
fénymásoló	hy:4
fénymáz	hy:4
fénymázak	hy:4
fénymérés	hy:4
fénymérő	hy:4
fénnyomás	hy:4
fényrekesz	hy:4
fényreklám	hy:4
fénysugarak	hy:4
fénysugár	hy:4
fényszóró	hy:4
fénytan	hy:4
fénytompító	hy:4
fényudvar	hy:4
fényvető	hy:4
fényár	hy:4
fényárak	hy:4
fényáram	hy:4
fényév	hy:4
fényűzés	hy:4
férccérna	hy:4
fércmű	hy:4
fércművek	hy:4
féregirtó	hy:5
féregnyúlvány	hy:5
féregűző	hy:5
férfialak	hy:5
férfidivat	hy:5
férfifodrászat	hy:5
férfiválogatott	hy:5
férőhely	hy:4
fésűcsiga	hy:4
fésűsfonal	hy:5
fésűsfonó	hy:5
fésűsgyapjú	hy:5
fésűsmerinó	hy:5
fétis	ph:fetish
fókabőr	hy:4
fókaprém	hy:4
fókavadász	hy:4
fókavadászat	hy:4
fókusztávolság	hy:6
fő-építésvezető	ph:főépítésvezető
főadó	hy:2
főalak	hy:2
főangyal	hy:2
főapa	hy:2
főapát	hy:2
főapátság	hy:2
főbejárat	hy:fő||be|járat
főbelövés	hy:4
főbeszámoló	hy:fő||be|számoló
főbiztos	hy:2
főbérlő	hy:2
főbíró	hy:2
főbűn	hy:2
főcsatorna	hy:2
főcsoport	hy:2
főcím	hy:2
fődolgok	hy:2
fődolog	hy:2
fődíj	hy:2
fődíjak	hy:2
főelőadó	hy:2
főember	hy:2
főemlős	hy:2
főerek	hy:2
főerő	hy:2
főesperes	hy:2
főfal	hy:2
főfalak	hy:2
főfelügyelet	hy:2
főfelügyelő	hy:2
főfelügyelőség	hy:2
főfoglalkozás	hy:2
főfogás	hy:2
főforrás	hy:2
főgimnázium	hy:2
főgondnok	hy:2
főgyökerek	hy:2
főgyökér	hy:2
főgyűjtő	hy:2
főgép	hy:2
főhadiszállás	hy:2
főhajtás	hy:2
főhajó	hy:2
főhatalmak	hy:2
főhatalom	hy:2
főherceg	hy:2
főhivatás	hy:2
főhomlokzat	hy:2
főhős	hy:2
főideológus	hy:2
főigazgató	hy:2
főigazgatóság	hy:2
főige	hy:2
főiskola	hy:2
főisten	hy:2
főjegyző	hy:2
főkapitány	hy:2
főkapitányság	hy:2
főkapu	hy:2
főkertész	hy:2
főkolompos	hy:2
főkonzul	hy:2
főkonzulátus	hy:2
főkráter	hy:2
főkép	hy:2
főkönyv	hy:2
főkönyvelő	hy:2
főkör	hy:2
főlap	hy:2
főmegbízott	hy:2
főmenü	hy:2
főmérnök	hy:2
főnemes	hy:2
főnemesség	hy:2
főnevek	hy:2
főnszél	hy:3
főnyeremény	hy:2
főnév	hy:2
főoldal	hy:2
főoldalak	hy:2
főoltár	hy:2
főoltárak	hy:2
főorvos	hy:2
főosztály	hy:2
főpap	hy:2
főparancsnok	hy:2
főparancsnokság	hy:2
főpincér	hy:2
főpróba	hy:2
főpásztor	hy:2
főrabbi	hy:2
főrend	hy:2
főrendező	hy:2
főrész	hy:2
fősor	hy:2
főszakács	hy:2
főszerep	hy:2
főszereplés	hy:2
főszerkesztő	hy:2
főszerkesztőség	hy:2
főszezon	hy:2
főszponzor	hy:2
fősík	hy:2
főtanács	hy:2
főtanácsadó	hy:2
főtanácsos	hy:2
főtartó	hy:2
főtengely	hy:2
főterek	hy:2
főtiszt	hy:2
főtitkár	hy:2
főtámasz	hy:2
főtámogató	hy:2
főtár	hy:2
főtárak	hy:2
főtárgy	hy:2
főtárgyak	hy:2
főtárgyaló	hy:2
főtéma	hy:2
főtér	hy:2
főtétel	hy:2
főurak	hy:2
főuralmak	hy:2
főuralom	hy:2
főutak	hy:2
főutca	hy:2
fővezér	hy:2
fővonal	hy:2
fővonalak	hy:2
fővállalkozás	hy:2
fővállalkozó	hy:2
fővám	hy:2
főváros	hy:2
fővédnök	hy:2
főznivaló	hy:5
főzőalma	hy:4
főzőedény	hy:4
főzőkészülék	hy:4
főzőmargarin	hy:4
főzőtök	hy:4
főág	hy:2
főágak	hy:2
főállás	hy:2
főáram	hy:2
főárbóc	hy:2
főégő	hy:2
főépítész	hy:2
főépület	hy:2
főér	hy:2
főétel	hy:2
főétkezés	hy:2
főív	hy:2
főördög	hy:2
főösszeg	hy:2
főúr	hy:2
főút	hy:2
főügyész	hy:2
főügyészség	hy:2
födémgerenda	hy:5
földadó	hy:4
földbirtok	hy:4
földbirtoklás	hy:4
földbirtokos	hy:4
földbér	hy:4
földcsusza	hy:4
földdarab	hy:4
földesurak	hy:6
földesúr	hy:6
földgömb	hy:4
földibolha	hy:5
földicseresznye	hy:5
földidió	hy:5
földigiliszta	hy:5
földikutya	hy:5
földimogyoró	hy:5
földitök	hy:5
földjáradék	hy:4
földkéreg	hy:4
földkérgek	hy:4
földköpeny	hy:4
földmunka	hy:4
földművelés	hy:4
földnyelv	hy:4
földpad	hy:4
földpát	hy:4
földrajz	hy:4
földrengés	hy:4
földreprivatizáció	hy:4
földrész	hy:4
földréteg	hy:4
földszegély	hy:4
földszint	hy:4
földszoros	hy:4
földsánc	hy:4
földsáv	hy:4
földtan	hy:4
földterület	hy:4
földtörténet	hy:4
földutak	hy:4
földönfutó	hy:6
földönkívüli	hy:6
földút	hy:4
fölülnézet	hy:5
fúrófej	hy:4
fúrógép	hy:4
fúrókalapács	hy:4
fúrólyuk	hy:4
fúrólyukak	hy:4
fúrótengely	hy:4
fúvócső	hy:4
fúvócsövek	hy:4
fúvókaszáj	hy:6
fúvókaszájak	hy:6
fúvószene	hy:fú-vós|ze-ne
fúvósötös	hy:5
fűcsomó	hy:2
fűmag	hy:2
fűnyírás	hy:2
fűnyíró	hy:2
fűrészbak	hy:6
fűrészfog	hy:6
fűrészfogak	hy:6
fűrészhajtogató	hy:6
fűrészhal	hy:6
fűrészhalak	hy:6
fűrészkeret	hy:6
fűrészmalmok	hy:6
fűrészmalom	hy:6
fűrésznyom	hy:6
fűrészpad	hy:6
fűrészpor	hy:6
fűrésztelep	hy:6
fűrészáru	hy:6
fűrészélesítő	hy:6
fűszer	hy:2
fűszál	hy:2
fűszálak	hy:2
fűtenivaló	hy:6
fűtéskeringtető	hy:5
fűtőanyag	hy:4
fűtőház	hy:4
fűtőházak	hy:4
fűtőmű	hy:4
fűtőművek	hy:4
fűtőszál	hy:4
fűtőszálak	hy:4
fűtőtest	hy:4
fűzfa	hy:3
fűzőkarika	hy:4
fűzőkészítő	hy:4
fűzőmerevítő	hy:4
fűzőtű	hy:4
fűzővédő	hy:4
fügefa	hy:4
fügekaktusz	hy:4
függvényábra	hy:8
függőlámpa	hy:5
függőpálya	hy:5
függőágy	hy:5
függőágyak	hy:5
függönykarnis	hy:7
függönyrudak	hy:7
függönyrúd	hy:7
függönytartó	hy:7
fülbemászó	hy:5
fülbevaló	hy:5
fülbélyegzés	hy:3
fülcimpa	hy:3
füldugó	hy:3
fülesbaglyok	hy:5
fülesbagoly	hy:5
fülfájás	hy:3
fülgyulladás	hy:3
fülkagyló	hy:3
fülszöveg	hy:3
fültő	hy:3
fültövek	hy:3
fülvédő	hy:3
fülzsír	hy:3
fülönfogás	hy:5
fülönfüggő	hy:5
fürdődressz	hy:5
fürdőhely	hy:5
fürdőkád	hy:5
fürdőkádak	hy:5
fürdőköpeny	hy:5
fürdőpapucs	hy:5
fürdőruha	hy:5
fürdőszoba	hy:5
fürkészdarázs	hy:7
fürtvirágzat	hy:4
füstakna	hy:4
füstcsiga	hy:4
füstcső	hy:4
füstcsövek	hy:4
füstgomoly	hy:4
füstgomolyag	hy:4
füstifecske	hy:5
füstköd	hy:4
füveshere	hy:5
füvészkönyv	hy:6
füzérdíszítés	hy:5
gabonafelvásárlás	hy:6
galacsinhajtó	hy:8
galagonyavirág	hy:9
galambbúgás	hy:6
galambdúc	hy:6
galambfióka	hy:6
galandféreg	hy:6
galandférgek	hy:6
ganajtúró	hy:5
garancialevelek	hy:8
garancialevél	hy:8
garathurut	hy:5
gazemberség	hy:3
gazométer	hy:5
gaztett	hy:3
gennyfolyás	hy:5
gennyképződés	hy:5
gennyzacskó	hy:5
gentleman	ph:dzsentlmen
gerbeaud-i	ph:zserbói
gerendacsatlakozás	hy:7
gerendakötés	hy:7
gerendaszállító	hy:7
gerendatartó	hy:7
gerinchúros	hy:6
gerincvelő	hy:6
germicidlámpa	hy:8
germániumdióda	hy:9
gesztenyefa	hy:9
gibibyte-	ph:gibibájt
gibibyte-os	ph:gibibájtos
gibibyte-tal	ph:gibibájttal
gibibyte-tá	ph:gibibájttá
gibibyte	ph:gibibájt
gigabyte-	ph:gigabájt
gigabyte-os	ph:gigabájtos
